,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,mean_importance,std_importance
δEm,262.4560383988711,247.6245281246408,286.67358010208744,263.94442066469117,261.7549467644195,286.8887488510445,276.40771516041934,276.28829098210315,256.1925780782468,271.92507764943764,269.01559247759616,12.209520108649428
δTm,264.0662360109578,256.3713473515603,265.2476695371126,252.75139259833358,259.89111400513866,261.10719140996605,266.66576204127836,258.6954530946497,253.35231360590836,258.8995275181591,259.70480071730645,4.490935796511787
VEC,246.13898363792205,248.25445330608233,262.98036540423317,258.87817457586664,248.18695966226605,269.7330962011812,252.85458874774622,264.3557702599467,258.6790048662013,239.83951095172023,254.9900907613166,8.953970477772963
δMc,237.53106271554688,239.67373811344086,234.28313213453143,244.59681659322058,239.56725865612844,249.3634370355308,247.2636849742956,251.6102695916324,249.32720192763426,228.40461660750844,242.162121834947,7.142394558042457
Ew,201.79178155205824,203.32871334874017,209.20285489109764,206.52664491074998,182.57717099859343,213.70504440815202,216.5381154149498,206.1482264584829,200.49858905389814,207.79116494175187,204.81083059784737,8.796496689666055
Cr,195.99844357010653,194.1984237044712,188.5212556117658,188.12323462147202,184.062059898547,182.84952052428187,190.9598595549024,180.474563430916,180.50662738431524,190.7084983999704,187.64024867007484,5.218262276925551
Hs,164.69516367589546,164.65728149473102,165.38707242470048,164.28266339842816,156.58603954122242,173.99086902466178,159.7497177086889,163.47080140518008,167.6615792348268,159.34169722489145,163.98228851332266,4.595129753755894
Em,142.8073132767115,146.38023723342712,148.36369357946847,167.72382931635633,134.5580801227589,149.04867190163185,148.32173391686962,152.25494516836608,161.33401732000345,147.8094313287608,149.8601953164354,8.729097345916884
DCE,133.28786402319867,151.03077737442356,149.0242568267333,146.3655771583041,141.49477164635988,150.21490870280113,141.62156150554625,153.46776570694814,147.55082588546196,149.9846881848376,146.40429970146144,5.708203768811843
Cu,131.48838302085522,141.5507668664299,150.64731760477736,151.99231819363928,146.60484198215653,137.70929799102464,141.0700136039447,149.18106153440561,143.74360432290027,146.3755976770796,144.03632027972134,5.984025799443476
δDVE,112.10699886972945,116.43582691208398,116.74063972440736,118.47051703858729,109.00302760207974,124.4652802818664,111.52226293801228,113.2355915746889,117.46337937245107,107.72374938350882,114.71672736974153,4.737910907582891
DVE,119.65714682110206,114.69410504468576,116.51149604489494,121.1227528264881,103.86283587510563,103.05524988308396,110.84652771257183,105.61971250548598,103.55292980449917,125.799301623785,112.47220581417022,7.856671136624086
Fe,99.46882611099785,105.13072017620505,104.03180506508048,112.93549986462718,102.61096082126687,104.8508196157562,101.84570845397548,104.57056972174227,104.2958087728548,107.50884761873537,104.72495662212414,3.4120078173328983
EI-1st,87.36239576883887,88.08926753939345,99.82263397758202,92.6333121794911,87.59811637365151,102.10253915663675,100.46543119220402,91.94108405899063,95.66214832811863,95.54727963054346,94.12242082054505,5.2196607460270545
δΔHmix,82.73783243497442,88.95322195050855,95.297647943418,87.15262639345569,91.51684724619834,101.91876742395803,92.37440966712423,94.91412097620987,82.39909595478225,93.28600644121892,91.05505764318484,5.670906411305221
δD,77.15550573067974,84.57809858707276,85.94403448535635,94.47529549624252,87.29590860204056,87.1065532047459,88.57976524219562,83.73775556836345,87.87849364987184,80.95712780527258,85.77085383718413,4.41804985026539
δC,84.53954033336633,77.03783643428847,91.25455342355227,87.50836060992144,71.19724511296457,86.91102424854535,89.72050963612188,85.99973079961747,82.61642435626544,90.6523460966894,84.74375710513326,6.028631331489886
Tb,75.36010767097858,71.36826695535093,81.85865005669339,80.58603889035115,74.34475675762613,82.95271061858361,80.53953635483197,78.49737945775958,75.76503917513571,78.383959940247,77.9656445877558,3.496328661932371
δEw,80.65520520522244,75.21261975913491,74.02930999558123,79.55377678404925,72.80617238707907,80.35363385524954,78.98843850645221,77.28349539190529,74.1397730841082,80.63048552235455,77.36529104911367,2.9120144784798434
χA,57.968824946494315,57.22163359230441,58.265260018145526,59.596108081321645,60.29755894538715,62.07189023332508,56.67791394516119,60.72930428753508,58.89379784755872,57.60093242450681,58.93232243217399,1.629316083207077
δHs,58.272949257954636,58.93144205680924,61.357160873364975,59.557077327862736,60.03318914921166,56.818422240643464,58.33382385702388,57.55204634893853,56.53571584164051,57.48315153232163,58.48749784857713,1.4322677266277513
δe/a,57.379394989110594,58.11281201533366,56.2366238600592,65.86338725314086,63.58101724604667,58.54630927079747,51.1667367116823,57.46887960863887,53.6342185570493,56.298494738413375,57.82878742502722,4.067235489816967
Co,53.91408587022643,56.17676905765618,51.29215915567439,54.24139893336623,50.589196652655524,54.51194110945501,56.1352522694134,51.99093886641121,51.79677066564015,52.285067406301664,53.293357998680015,1.8822714054580043
δRc,51.216374815807626,52.629358313773004,52.56511011582946,55.91171136072764,50.899720963394955,52.92001057520788,49.53319678384152,48.89210408550336,49.32538562775564,50.04759165243942,51.39405642942804,2.0426930351186217
δTb,49.60728057851411,50.30089963944648,53.00003532968816,49.1833164775401,48.01162890690675,53.02950680504007,46.870918400691245,49.5103494369472,48.37278651868304,52.0304266339921,49.99171487274492,1.9961002756223747
Ec,43.40048060659145,45.15905985802398,41.7575890305576,43.18500529218965,43.98023732465582,42.79444003461302,43.84362384673794,44.73824753343793,42.85425887131337,42.472269785719185,43.418521218383994,0.9840834065007463
EN,40.28230079915597,39.01076098986326,40.810276574430354,38.62045471789201,37.747059668459954,36.889209468510806,40.162192932979956,35.3073228330495,33.58597560726542,38.173466307221,38.05890198988283,2.1729147170215795
Vm,31.684163197705523,35.477393197513976,37.25264194304566,35.167985924676216,35.10300112669413,40.711530268627094,34.32019417371054,35.53713604494543,34.7687137174921,36.81339593418628,35.6836155528597,2.1994710093612144
Va,32.57162067701569,35.68098552830239,34.72207436941452,35.17784223717978,33.22769257418308,38.148532220089166,34.062011494452776,35.70220010192948,34.722858358200725,33.73483082700935,34.7750648387777,1.485542876328865
δEI-2nd,38.360882083730004,34.441222510189824,32.298605180318546,34.084145912813206,31.18666387521738,35.14142422547997,32.94723719077079,34.704832574050286,34.77700862810192,34.79924037939236,34.274126256006426,1.8283237725334818
χM,34.5628231362192,31.493651075695613,26.101021386482635,31.020648242050953,38.25907528698351,35.15507696301158,36.05101215384483,32.439784736660776,32.253955257553685,34.10338328906198,33.144043152756474,3.157792608214237
δVa,27.404325890023774,32.110587038046404,31.650648890585053,34.52581964382862,30.873504610805035,32.77887164631988,31.386249493272466,31.65176201826398,31.342037759714238,31.36332475998892,31.508713175084836,1.686193808438783
ΔHmix,30.841973906968445,30.763556507132584,33.60956662763736,32.18721232016304,33.57444851572747,29.901098131926336,28.59627253629492,30.055960365236082,28.321288624827748,31.32305927778871,30.91744368137027,1.732523660651472
Ea,27.95850207646692,27.124340844004614,24.037998749985878,25.655768552641074,25.40005935619495,25.34585252192506,26.264875483126623,28.643500737919744,25.711290075848837,24.0819008640123,26.0224089262126,1.4377533133182123
δχP,22.67606246126173,26.385937167554033,26.370462310309883,23.20462497656328,26.539805910480844,24.791633934372527,27.414109333627305,25.322916778859753,28.415555341003092,27.40579558318377,25.852690379721622,1.7593386698978848
R,30.508702825406438,23.85262459568302,26.9835684766376,25.84224873778022,23.710027935418616,24.481251904413124,26.11383114741235,23.919877624612536,26.36540738656192,25.925050926526914,25.770259156045274,1.9347785540712281
